ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days Subscribed,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,Send Count Group,Open Count Group,Click Count Group,Unique Open Count Group
105,FRA,Limited,RENEWAL,Web,35.97,USD,10/18/19,7/21/20,277,No,Yes,10/18/19,10/21/19,On,US/Canada,Consumer,Web,Yes,Yes,6,4,0,2,0,1,1,1,1
106,ENG,Limited,RENEWAL,Web,79,USD,7/14/19,2/8/20,209,No,Yes,7/14/19,7/17/19,Off,US/Canada,Consumer,Web,Yes,Yes,274,243,7,74,1,3,3,1,2
125,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/25/19,1/24/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,99,2,1,2,1,1,1,1,1
131,ITA,Limited,RENEWAL,App,37.77,USD,7/18/19,4/21/20,278,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
150,JPN,Limited,RENEWAL,Web,79,USD,7/20/19,4/20/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,10,9,4,2,1,1,1,1,1
153,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/26/19,11/29/19,95,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0,1,1,1,1
154,FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,9/19/19,12/19/19,91,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,51,2,0,2,0,1,1,1,1
172,ESP,Limited,RENEWAL,Web,79,USD,4/13/19,1/13/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,141,5,1,5,1,2,1,1,1
174,FRA,Limited,INITIAL_PURCHASE,Web,37.77,USD,8/30/19,11/30/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
183,NED,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/16/20,4/19/20,94,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,28,24,17,7,3,1,1,1,1
187,ALL,Limited,INITIAL_PURCHASE,Web,99,USD,3/15/20,3/15/21,365,No,Yes,3/12/20,3/15/20,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,1,1,1,1
194,ESP,Limited,INITIAL_PURCHASE,Web,38.81,USD,8/16/19,11/16/19,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,150,1,0,1,0,2,1,1,1
200,FRA,Limited,INITIAL_PURCHASE,Web,38.25,USD,1/28/20,4/28/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,43,3,0,2,0,1,1,1,1
219,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/9/20,5/9/20,90,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0,1,1,1,1
224,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/28/20,6/14/20,107,No,Yes,2/28/20,3/2/20,Off,Other,Consumer,Web,No,Yes,11,3,0,1,0,1,1,1,1
229,ENG,Limited,INITIAL_PURCHASE,Web,69.76,USD,11/6/19,5/6/20,182,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,0,0,0,0,0,1,1,1,1
236,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,7/23/19,10/26/19,95,No,Yes,7/23/19,7/26/19,Off,US/Canada,Consumer,Web,Yes,Yes,181,7,0,6,0,2,1,1,1
241,NED,Limited,INITIAL_PURCHASE,Web,38.13,USD,11/20/19,2/20/20,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,63,3,3,1,1,1,1,1,1
246,ALL,Limited,INITIAL_PURCHASE,Web,116.01,USD,3/15/20,3/15/21,365,No,Yes,12/11/19,12/14/19,On,Europe,Consumer,Web,No,Yes,12,12,10,2,1,1,1,1,1
248,ENG,Limited,RENEWAL,Web,35.97,USD,8/24/19,5/27/20,277,No,Yes,8/24/19,8/27/19,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,1,1,1,1
251,JPN,Limited,INITIAL_PURCHASE,Web,41.46,USD,1/9/20,4/9/20,91,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,14,1,1,1,1,1,1,1,1
275,ENG,Limited,RENEWAL,Web,35.97,USD,1/10/20,7/10/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0,1,1,1,1
283,ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,12/10/19,6/18/20,191,No,Yes,12/10/19,12/13/19,On,US/Canada,Consumer,Web,Yes,Yes,131,0,0,0,0,2,1,1,1
292,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/8/20,6/8/20,92,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,7,0,0,0,0,1,1,1,1
302,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,8/11/19,3/7/20,209,No,Yes,8/11/19,8/14/19,Off,US/Canada,Consumer,Web,Yes,Yes,24,0,0,0,0,1,1,1,1
304,RUS,Limited,RENEWAL,Web,79,USD,10/6/19,4/6/20,183,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,182,33,0,3,0,2,1,1,1
324,ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,7/21/19,1/21/20,184,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
333,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/12/19,5/15/20,185,No,Yes,11/12/19,11/15/19,On,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
334,HEB,Limited,RENEWAL,Web,19.99,USD,9/27/19,4/27/20,213,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,4,0,0,0,0,1,1,1,1
335,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/8/19,3/8/20,182,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,28,6,5,2,1,1,1,1,1
345,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/27/20,4/30/20,94,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,30,28,0,9,0,1,1,1,1
355,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/8/20,7/8/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,No,Yes,17,11,3,5,2,1,1,1,1
357,ESP,Limited,INITIAL_PURCHASE,Web,42.46,USD,9/24/19,3/27/20,185,No,Yes,9/24/19,9/27/19,Off,US/Canada,Consumer,Web,Yes,Yes,7,1,0,1,0,1,1,1,1
362,ESP,Limited,RENEWAL,Web,35.97,USD,8/26/19,5/29/20,277,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,1,1,1,1
364,ESP,Limited,RENEWAL,Web,35.97,USD,11/30/19,5/29/20,181,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,4,4,0,3,0,1,1,1,1
375,POR,Limited,RENEWAL,Web,35.97,USD,9/24/19,6/24/20,274,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,10,9,6,3,1,1,1,1,1
376,ENG,Limited,RENEWAL,Web,35.97,USD,12/15/19,6/15/20,183,No,Yes,12/8/19,12/11/19,On,US/Canada,Consumer,Web,Yes,Yes,4,1,0,1,0,1,1,1,1
378,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/24/20,6/30/20,98,No,Yes,3/24/20,3/27/20,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,1,1,1,1
382,ENG,Limited,RENEWAL,Web,35.97,USD,1/14/20,7/14/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,8,0,0,0,0,1,1,1,1
384,ESC,Limited,RENEWAL,Web,35.97,USD,9/5/19,6/5/20,274,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,6,6,0,3,0,1,1,1,1
387,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/14/19,10/14/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,127,24,6,12,1,2,1,1,1
401,DEU,Limited,RENEWAL,Web,119,USD,2/10/19,2/10/20,365,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,29,0,0,0,0,1,1,1,1
406,ESP,Limited,INITIAL_PURCHASE,Web,42.27,USD,8/25/19,2/28/20,187,No,Yes,8/25/19,8/28/19,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,1,1,1,1
408,KOR,Limited,INITIAL_PURCHASE,Web,39,USD,1/13/20,4/20/20,98,No,Yes,1/13/20,1/16/20,Off,US/Canada,Consumer,Web,Yes,Yes,14,2,0,2,0,1,1,1,1
428,FRA,Limited,INITIAL_PURCHASE,Web,39,USD,7/22/19,10/25/19,95,No,Yes,7/22/19,7/25/19,Off,US/Canada,Consumer,Web,Yes,Yes,122,0,0,0,0,2,1,1,1
430,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/18/20,5/18/20,90,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,8,0,0,0,0,1,1,1,1
432,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/15/20,3/15/21,365,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,7,0,0,0,0,1,1,1,1
437,ALL,Limited,INITIAL_PURCHASE,Web,104.39,USD,3/19/20,3/19/21,365,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,24,15,15,1,1,1,1,1,1
445,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/16/20,3/16/21,365,No,Yes,2/18/20,2/21/20,On,US/Canada,Consumer,Web,Yes,Yes,51,1,1,1,1,1,1,1,1
448,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,6/10/19,4/10/20,305,No,Yes,1/7/20,1/10/20,Off,US/Canada,Consumer,Web,Yes,Yes,21,8,0,2,0,1,1,1,1
454,ITA,Limited,INITIAL_PURCHASE,Web,38.22,USD,2/4/20,5/4/20,90,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,17,1,0,1,0,1,1,1,1
462,ESP,Limited,RENEWAL,Web,79,USD,10/24/19,4/24/20,183,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,9,7,0,2,0,1,1,1,1
468,ESP,Limited,INITIAL_PURCHASE,Web,126.44,USD,10/13/19,4/16/20,186,No,Yes,10/13/19,10/16/19,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,0,3,0,1,1,1,1
476,ESP,Limited,RENEWAL,Web,79,USD,7/9/19,4/12/20,278,No,Yes,7/9/19,7/12/19,Off,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,1,1,1,1
480,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/31/20,4/30/20,90,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,14,0,0,0,0,1,1,1,1
520,ENG,Limited,INITIAL_PURCHASE,Web,52.55,USD,9/28/19,3/28/20,182,No,No,NULL,NULL,Off,Other,Consumer,Web,Yes,Yes,0,0,0,0,0,1,1,1,1
534,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/5/20,4/5/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,86,82,44,13,2,1,1,1,1
539,RUS,Limited,RENEWAL,Web,79,USD,4/18/19,10/18/19,183,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,121,0,0,0,0,2,1,1,1
542,FRA,Limited,RENEWAL,Web,79,USD,3/2/19,12/2/19,275,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,1,1,1,1
544,HIN,Limited,INITIAL_PURCHASE,Web,35.97,USD,11/25/19,6/26/20,214,No,Yes,1/1/20,1/4/20,On,US/Canada,Consumer,Web,Yes,Yes,15,0,0,0,0,1,1,1,1
549,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/23/20,4/23/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,1,1,0,1,0,1,1,1,1
551,HIN,Limited,INITIAL_PURCHASE,Web,39,USD,7/5/19,10/8/19,95,No,Yes,7/5/19,7/8/19,Off,US/Canada,Consumer,Web,Yes,Yes,176,30,0,26,0,2,1,1,1
555,FRA,Limited,INITIAL_PURCHASE,Web,39,USD,8/17/19,11/20/19,95,No,Yes,8/17/19,8/20/19,Off,US/Canada,Consumer,Web,Yes,Yes,55,0,0,0,0,1,1,1,1
562,ESP,Limited,INITIAL_PURCHASE,Web,39.16,USD,9/27/19,1/2/20,97,No,Yes,9/27/19,9/30/19,Off,US/Canada,Consumer,Web,No,Yes,83,13,1,3,1,1,1,1,1
564,FRA,Limited,RENEWAL,Web,79,USD,6/1/19,12/4/19,186,No,Yes,6/1/19,6/4/19,Off,Europe,Consumer,Web,Yes,Yes,2,0,0,0,0,1,1,1,1
566,ESP,Limited,RENEWAL,Web,35.97,USD,8/17/19,5/20/20,277,No,Yes,8/17/19,8/20/19,On,Other,Consumer,Web,Yes,Yes,5,0,0,0,0,1,1,1,1
569,DEU,Limited,RENEWAL,Web,35.97,USD,8/26/19,6/9/20,288,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,1,1,1,1
586,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/27/19,5/5/20,221,No,Yes,10/4/19,10/7/19,On,Other,Consumer,Web,No,Yes,31,0,0,0,0,1,1,1,1
599,FRA,Limited,RENEWAL,Web,79,USD,3/30/19,9/30/19,184,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,0,0,0,0,0,1,1,1,1
601,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/29/19,3/1/20,185,No,Yes,8/29/19,9/1/19,Off,Other,Consumer,Web,Yes,Yes,52,23,8,2,1,1,1,1,1
612,FRA,Limited,RENEWAL,Web,79,USD,5/11/19,11/14/19,187,No,Yes,5/11/19,5/14/19,Off,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
619,CHI,Limited,INITIAL_PURCHASE,Web,46.8,USD,11/23/19,5/15/20,174,No,No,NULL,NULL,Off,Europe,Consumer,Web,No,Yes,98,30,10,25,5,1,1,1,1
621,DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,9/2/19,3/2/20,182,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,3,2,0,1,0,1,1,1,1
622,ESP,Limited,RENEWAL,Web,35.97,USD,10/22/19,7/22/20,274,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,15,13,0,2,0,1,1,1,1
624,ITA,Limited,RENEWAL,Web,79,USD,2/3/19,11/3/19,273,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,145,9,2,7,1,2,1,1,1
628,ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,9/8/19,3/8/20,182,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,8,0,0,0,0,1,1,1,1
648,RUS,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/17/19,5/24/20,189,No,No,NULL,NULL,On,Europe,Consumer,Web,Yes,Yes,0,0,0,0,0,1,1,1,1
655,ALL,Limited,INITIAL_PURCHASE,Web,104.39,USD,3/23/20,3/23/21,365,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,8,3,0,2,0,1,1,1,1
684,POL,Limited,INITIAL_PURCHASE,Web,41.63,USD,12/24/19,3/24/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,14,6,3,2,1,1,1,1,1
695,RUS,Limited,INITIAL_PURCHASE,Web,51.94,USD,8/26/19,1/12/20,139,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,29,22,22,1,1,1,1,1,1
697,ESP,Limited,INITIAL_PURCHASE,Web,38.49,USD,9/4/19,12/4/19,91,No,No,NULL,NULL,On,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
712,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/16/20,6/16/20,92,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,10,2,0,2,0,1,1,1,1
719,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,9/21/19,7/16/20,299,Yes,No,NULL,NULL,Off,Other,Consumer,App,No,Yes,18,18,0,1,0,1,1,1,1
724,ESP,Limited,RENEWAL,Web,79,USD,11/10/19,5/14/20,186,No,Yes,11/10/19,11/13/19,Off,US/Canada,Consumer,Web,Yes,Yes,5,0,0,0,0,1,1,1,1
732,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/25/19,10/25/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,200,26,5,12,2,2,1,1,1
737,FRA,Limited,RENEWAL,Web,35.97,USD,1/15/20,7/15/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,43,16,0,11,0,1,1,1,1
750,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,6/27/19,3/30/20,277,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,1,1,1,1
753,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/6/20,3/6/21,365,No,Yes,3/6/20,3/9/20,On,US/Canada,Consumer,Web,No,Yes,1,0,0,0,0,1,1,1,1
755,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/14/20,5/14/20,90,No,No,NULL,NULL,On,US/Canada,Consumer,Web,No,Yes,31,0,0,0,0,1,1,1,1
758,POL,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/21/20,6/24/20,95,No,Yes,3/21/20,3/24/20,On,Europe,Consumer,Web,No,Yes,1,0,0,0,0,1,1,1,1
762,DEU,Limited,INITIAL_PURCHASE,Web,39,USD,8/13/19,12/15/19,124,No,Yes,8/13/19,8/16/19,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,1,1,1,1
770,CHI,Limited,INITIAL_PURCHASE,Web,34.39,USD,9/30/19,12/30/19,91,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,128,0,0,0,0,2,1,1,1
772,DEU,Limited,INITIAL_PURCHASE,Web,49,USD,12/19/19,6/22/20,186,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,1,1,1,1
773,ESP,Limited,INITIAL_PURCHASE,Web,41.11,USD,8/16/19,2/22/20,190,No,Yes,8/16/19,8/19/19,Off,US/Canada,Consumer,Web,Yes,Yes,52,8,0,4,0,1,1,1,1
775,HIN,Limited,INITIAL_PURCHASE,Web,39,USD,1/9/20,4/9/20,91,No,Yes,9/24/18,9/27/18,Off,US/Canada,Consumer,App,Yes,Yes,41,39,5,16,2,1,1,1,1
780,DEU,Limited,RENEWAL,Web,79,USD,7/28/19,4/30/20,277,No,Yes,7/28/19,7/31/19,On,US/Canada,Consumer,App,No,Yes,3,2,0,1,0,1,1,1,1
782,ESP,Limited,INITIAL_PURCHASE,Web,38.24,USD,6/24/19,9/24/19,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
784,ENG,Limited,INITIAL_PURCHASE,Web,41.57,USD,8/13/19,2/16/20,187,No,Yes,8/13/19,8/16/19,Off,US/Canada,Consumer,App,Yes,Yes,48,0,0,0,0,1,1,1,1
786,ESP,Limited,INITIAL_PURCHASE,Web,70.06,USD,8/16/19,2/16/20,184,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,15,0,0,0,0,1,1,1,1
787,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,10/19/19,4/19/20,183,Yes,No,NULL,NULL,On,Other,Consumer,Web,Yes,Yes,1,0,0,0,0,1,1,1,1
799,ESP,Limited,INITIAL_PURCHASE,Web,32.37,USD,9/4/19,3/8/20,186,No,Yes,9/4/19,9/7/19,Off,US/Canada,Consumer,Web,Yes,Yes,18,0,0,0,0,1,1,1,1
808,ESP,Limited,RENEWAL,Web,79,USD,1/25/19,10/25/19,273,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,196,27,0,21,0,2,1,1,1
832,ESP,Limited,INITIAL_PURCHASE,Web,38.13,USD,1/22/20,4/26/20,95,No,Yes,1/22/20,1/25/20,Off,US/Canada,Consumer,Web,Yes,Yes,39,33,18,6,3,1,1,1,1
834,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/12/20,6/1/20,110,No,Yes,2/12/20,2/15/20,Off,Other,Consumer,Web,No,Yes,25,9,3,4,1,1,1,1,1
835,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,7/2/19,10/5/19,95,No,Yes,7/2/19,7/5/19,Off,US/Canada,Consumer,Web,No,Yes,31,12,1,9,1,1,1,1,1
836,ESP,Limited,RENEWAL,Web,79,USD,6/8/19,12/8/19,183,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,108,0,0,0,0,2,1,1,1
851,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/29/20,5/1/20,93,No,Yes,1/29/20,2/1/20,On,Other,Consumer,Web,No,Yes,1,1,0,1,0,1,1,1,1
856,ENG,Limited,RENEWAL,Web,79,USD,4/8/19,1/8/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,130,0,0,0,0,2,1,1,1
859,FRA,Limited,INITIAL_PURCHASE,Web,65.94,USD,12/20/19,6/20/20,183,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,4,3,0,2,0,1,1,1,1
868,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,6/28/19,9/28/19,92,No,No,NULL,NULL,On,Other,Consumer,Web,No,Yes,0,0,0,0,0,1,1,1,1
873,FRA,Limited,INITIAL_PURCHASE,Web,50.97,USD,8/10/19,2/13/20,187,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,13,13,0,2,0,1,1,1,1
893,ARA,Limited,RENEWAL,Web,35.97,USD,10/5/19,7/8/20,277,No,Yes,10/5/19,10/8/19,On,Other,Consumer,Web,Yes,Yes,2,0,0,0,0,1,1,1,1
894,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,7/30/19,1/30/20,184,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,69,3,0,2,0,1,1,1,1
896,ENG,Limited,INITIAL_PURCHASE,Web,37.91,USD,9/11/19,12/22/19,102,Yes,No,NULL,NULL,On,US/Canada,Other,Web,Yes,Yes,0,0,0,0,0,1,1,1,1
