ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days Subscribed,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count
126,ALL,Lifetime,INITIAL_PURCHASE,Web,218.9,USD,2/26/20,1/1/99,28799,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,10,1,0,1,0
131,ITA,Limited,RENEWAL,App,37.77,USD,7/18/19,4/21/20,278,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
135,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/27/20,1/1/99,28798,No,Yes,2/26/20,2/29/20,Off,US/Canada,Consumer,Web,Yes,Yes,13,1,0,1,0
144,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/16/20,1/1/99,28780,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,57,8,8,2,2
150,JPN,Limited,RENEWAL,Web,79,USD,7/20/19,4/20/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,10,9,4,2,1
153,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/26/19,11/29/19,95,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0
154,FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,9/19/19,12/19/19,91,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,51,2,0,2,0
172,ESP,Limited,RENEWAL,Web,79,USD,4/13/19,1/13/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,141,5,1,5,1
173,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/23/20,1/1/99,28802,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,53,8,0,4,0
174,FRA,Limited,INITIAL_PURCHASE,Web,37.77,USD,8/30/19,11/30/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
175,ALL,Lifetime,INITIAL_PURCHASE,Web,212.43,USD,3/3/20,1/1/99,28793,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,7,2,0,1,0
180,ESP,Limited,RENEWAL,Web,35.97,USD,7/11/19,7/14/20,369,No,Yes,7/11/19,7/14/19,On,US/Canada,Consumer,Web,Yes,Yes,8,5,0,1,0
183,NED,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/16/20,4/19/20,94,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,28,24,17,7,3
187,ALL,Limited,INITIAL_PURCHASE,Web,99,USD,3/15/20,3/15/21,365,No,Yes,3/12/20,3/15/20,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0
190,DEU,Limited,RENEWAL,Web,119,USD,10/21/18,4/21/20,548,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,2,1,0,1,0
194,ESP,Limited,INITIAL_PURCHASE,Web,38.81,USD,8/16/19,11/16/19,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,150,1,0,1,0
200,FRA,Limited,INITIAL_PURCHASE,Web,38.25,USD,1/28/20,4/28/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,43,3,0,2,0
205,ENG,Limited,RENEWAL,Web,119,USD,8/7/19,8/7/20,366,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0
213,ESP,Lifetime,INITIAL_PURCHASE,Web,195.56,USD,12/6/19,1/1/99,28881,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0
217,ESP,Limited,RENEWAL,Web,169,USD,10/2/18,10/2/20,731,No,No,NULL,NULL,On,US/Canada,Other,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL
219,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/9/20,5/9/20,90,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0
224,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/28/20,6/14/20,107,No,Yes,2/28/20,3/2/20,Off,Other,Consumer,Web,No,Yes,11,3,0,1,0
229,ENG,Limited,INITIAL_PURCHASE,Web,69.76,USD,11/6/19,5/6/20,182,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL
232,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/24/18,4/12/20,505,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,0,2,0
234,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,1/15/20,1/1/99,28841,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,5,0,0,0,0
236,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,7/23/19,10/26/19,95,No,Yes,7/23/19,7/26/19,Off,US/Canada,Consumer,Web,Yes,Yes,181,7,0,6,0
241,NED,Limited,INITIAL_PURCHASE,Web,38.13,USD,11/20/19,2/20/20,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,63,3,3,1,1
243,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/20/20,1/1/99,28805,No,No,NULL,NULL,Off,Other,Consumer,Web,No,Yes,69,15,5,12,4
246,ALL,Limited,INITIAL_PURCHASE,Web,116.01,USD,3/15/20,3/15/21,365,No,Yes,12/11/19,12/14/19,On,Europe,Consumer,Web,No,Yes,12,12,10,2,1
248,ENG,Limited,RENEWAL,Web,35.97,USD,8/24/19,5/27/20,277,No,Yes,8/24/19,8/27/19,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0
251,JPN,Limited,INITIAL_PURCHASE,Web,41.46,USD,1/9/20,4/9/20,91,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,14,1,1,1,1
258,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/4/20,1/1/99,28792,Yes,No,NULL,NULL,Off,Other,Consumer,Web,No,Yes,12,12,2,6,1
259,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,3/2/20,1/1/99,28794,No,Yes,2/16/20,2/19/20,Off,US/Canada,Consumer,Web,Yes,Yes,29,10,6,4,2
